Id;Nem;SzuletesiDatum;CsaladiAllapot;Egeszsegbiztositas;EgeszsegugyiEllatas;Nemzetiseg;Megye;HaviBruttoJovedelem;EvesEgyebBruttoJovedelem;IskolaiVegzettseg;PolitikaiNezet;Szavazokepes;TeaFogyasztasNaponta;FishAndChipsFogyasztasEvente
1;férfi;1983.07.18;házas;van;állami;skót;Kent;1432,00;6554,00;GCSE;liberális;;7;45
2;nő;1965.03.04;özvegy bejegyzett élettárs;van;vegyes;angol;Essex;4018,00;185,00;Bachelor's;konzervatív;;6;15
3;nő;1997.08.15;házas;nincs;;ír;Yorkshire;3669,00;9053,00;Master's;zöldpárti;;8;34
4;férfi;1975.12.09;elvált;van;állami;pakisztáni;Greater London;3300,00;0,00;A-level;munkáspárti;;5;63
5;nő;1989.02.17;bejegyzett élettárs;nincs;;walesi;West Midlands;1750,00;7001,00;GCSE;liberális;;2;?
6;férfi;2003.01.03;egyedülálló;nincs;;angol;Kent;0,00;2090,00;Bachelor's;zöldpárti;;4;12
7;nő;1949.11.23;özvegy;van;állami;skót;Essex;1559,00;5600,00;Master's;konzervatív;;0;45
8;egyéb;1962.05.09;házas;van;magán;ír;Greater London;2048,00;172,00;Doctorate;liberális;;3;19
9;nő;1995.09.15;elvált;nincs;;pakisztáni;Yorkshire;3520,00;6029,00;A-level;munkáspárti;;6;29
10;férfi;1955.06.25;házas;van;állami;angol;West Midlands;4032,00;0,00;GCSE;egyéb;;1;20
11;férfi;1987.08.03;egyedülálló;van;állami;skót;Essex;3800,00;1568,00;Bachelor's;konzervatív;;5;10
12;nő;1991.02.12;házas;van;állami;angol;Kent;2250,00;8602,00;A-level;zöldpárti;;2;12
13;nő;1969.05.07;elvált;nincs;;ír;West Midlands;2850,00;7000,00;GCSE;munkáspárti;;4;15
14;férfi;1999.06.18;házas;van;magán;pakisztáni;Yorkshire;1890,00;3582,00;Bachelor's;liberális;;6;8
15;nő;1972.11.14;egyedülálló;nincs;;walesi;Greater London;0,00;4235,00;GCSE;konzervatív;;3;20
16;egyéb;1980.04.25;elvált;van;állami;angol;Essex;3600,00;500,00;Master's;zöldpárti;;7;30
17;férfi;1964.01.10;házas;van;állami;skót;Kent;2500,00;2850,00;A-level;egyéb;;1;60
18;nő;1950.10.05;özvegy;nincs;;ír;West Midlands;0,00;9032,00;Doctorate;liberális;;9;?
19;férfi;2000.09.23;bejegyzett élettárs;van;vegyes;pakisztáni;Yorkshire;1300,00;0,00;GCSE;munkáspárti;;2;18
20;nő;1978.03.30;házas;van;magán;walesi;Greater London;4200,00;2500,00;Bachelor's;konzervatív;;3;23
21;férfi;1971.11.11;házas;van;állami;angol;Essex;2800,00;3000,00;GCSE;munkáspárti;;3;40
22;nő;1988.12.22;elvált;nincs;;ír;Kent;0,00;1520,00;Bachelor's;liberális;;4;18
23;férfi;2002.03.01;egyedülálló;nincs;;walesi;Greater London;0,00;300,00;GCSE;zöldpárti;;0;10
24;nő;1981.08.07;házas;van;állami;skót;West Midlands;4000,00;5000,00;A-level;konzervatív;;5;20
25;egyéb;1996.09.18;házas;van;magán;pakisztáni;Yorkshire;1800,00;750,00;Bachelor's;egyéb;;7;33
26;férfi;1973.07.19;özvegy;van;állami;angol;Essex;2700,00;2850,00;Doctorate;munkáspárti;;6;50
27;nő;1959.06.26;elvált;van;állami;ír;Kent;3600,00;1450,00;Master's;zöldpárti;;9;?
28;férfi;1992.02.16;házas;van;vegyes;skót;Greater London;2500,00;300,00;Bachelor's;liberális;;2;15
29;nő;1984.04.15;elvált bejegyzett élettárs;nincs;;walesi;West Midlands;0,00;2200,00;A-level;konzervatív;;3;21
30;férfi;1967.10.04;házas;van;magán;angol;Yorkshire;4300,00;0,00;Bachelor's;munkáspárti;;8;60
31;nő;1982.05.10;házas;van;állami;pakisztáni;Essex;1450,00;3200,00;GCSE;liberális;;4;17
32;egyéb;2004.01.29;egyedülálló;nincs;;ír;Kent;0,00;0,00;GCSE;zöldpárti;;1;30
33;férfi;1990.07.05;házas;van;állami;skót;Greater London;3100,00;1750,00;Bachelor's;konzervatív;;7;12
34;nő;1977.03.12;házas;van;állami;angol;West Midlands;1800,00;500,00;A-level;munkáspárti;;2;?
35;férfi;2001.06.14;házas;van;magán;walesi;Yorkshire;2200,00;250,00;Master's;zöldpárti;;4;25
36;nő;1958.09.28;házas;van;állami;pakisztáni;Essex;3000,00;4800,00;Bachelor's;liberális;;6;40
37;egyéb;1963.10.17;elvált;van;állami;ír;Kent;1800,00;0,00;GCSE;konzervatív;;0;35
38;férfi;1985.03.21;házas;van;magán;skót;Greater London;4100,00;800,00;A-level;zöldpárti;;9;28
39;nő;2000.12.06;házas;van;vegyes;angol;West Midlands;3700,00;0,00;Doctorate;liberális;;5;15
40;férfi;1993.02.14;házas;van;állami;pakisztáni;Yorkshire;1500,00;3300,00;GCSE;munkáspárti;;2;45
41;nő;1961.04.15;özvegy;van;állami;angol;Kent;2400,00;3100,00;Master's;konzervatív;;7;12
42;férfi;1978.07.11;egyedülálló;nincs;;walesi;Essex;0,00;2000,00;GCSE;zöldpárti;;3;22
43;nő;1989.10.23;házas;van;vegyes;ír;Greater London;3650,00;1520,00;Bachelor's;liberális;;6;40
44;férfi;1957.05.18;házas;van;magán;pakisztáni;West Midlands;4200,00;3750,00;A-level;munkáspárti;;5;?
45;nő;1976.08.25;egyedülálló;van;állami;skót;Yorkshire;1800,00;5400,00;GCSE;zöldpárti;;8;25
46;nő;1999.01.09;elvált;van;állami;angol;Kent;2800,00;250,00;Master's;konzervatív;;2;33
47;férfi;1960.02.03;házas;nincs;;walesi;Essex;0,00;6000,00;Bachelor's;liberális;;1;28
48;nő;2002.03.17;egyedülálló;van;állami;ír;Greater London;1500,00;0,00;GCSE;konzervatív;;4;45
49;férfi;1984.06.27;házas;van;állami;pakisztáni;West Midlands;1700,00;3550,00;A-level;munkáspárti;;7;18
50;nő;1951.09.30;házas;van;állami;skót;Yorkshire;2400,00;4150,00;Bachelor's;zöldpárti;;9;20
51;egyéb;1974.12.15;elvált;van;állami;angol;Kent;1850,00;3250,00;Master's;liberális;;6;15
52;nő;1968.11.02;házas;van;állami;walesi;Essex;3000,00;1000,00;Doctorate;konzervatív;;2;10
